================================================================================
Engine Log - Started at 2026-03-16 19:04:23
================================================================================

[19:04:23.998] [INFO ] VoxelEngine initialized from Desktop platform with Standalone RuntimeContext.
[19:04:24.009] [INFO ] [EntryPoint:37] Creating engine
[19:04:24.012] [INFO ] [Heartbeat:57] Frame rate limit disabled (unlimited FPS)
[19:04:24.069] [INFO ] [EntryPoint:47] Starting engine...
[19:04:24.076] [EXTRAINFO] [ServiceContainer:24] [ServiceContainer] Registering service: IGraphicsDevice
[19:04:25.615] [DEBUG] [RenderManager:47] AAA
[19:04:25.627] [DEBUG] [RenderManager:47] AAA
[19:04:25.639] [DEBUG] [RenderManager:47] AAA
[19:04:25.651] [DEBUG] [RenderManager:47] AAA
[19:04:25.663] [DEBUG] [RenderManager:47] AAA
[19:04:25.675] [DEBUG] [RenderManager:47] AAA
[19:04:25.687] [DEBUG] [RenderManager:47] AAA
[19:04:25.699] [DEBUG] [RenderManager:47] AAA
[19:04:25.712] [DEBUG] [RenderManager:47] AAA
[19:04:25.724] [DEBUG] [RenderManager:47] AAA
[19:04:25.736] [DEBUG] [RenderManager:47] AAA
[19:04:25.748] [DEBUG] [RenderManager:47] AAA
[19:04:25.760] [DEBUG] [RenderManager:47] AAA
[19:04:25.772] [DEBUG] [RenderManager:47] AAA
[19:04:25.784] [DEBUG] [RenderManager:47] AAA
[19:04:25.796] [DEBUG] [RenderManager:47] AAA
[19:04:25.809] [DEBUG] [RenderManager:47] AAA
[19:04:25.821] [DEBUG] [RenderManager:47] AAA
[19:04:25.833] [DEBUG] [RenderManager:47] AAA
[19:04:25.845] [DEBUG] [RenderManager:47] AAA
[19:04:25.857] [DEBUG] [RenderManager:47] AAA
[19:04:25.869] [DEBUG] [RenderManager:47] AAA
[19:04:25.881] [DEBUG] [RenderManager:47] AAA
[19:04:25.893] [DEBUG] [RenderManager:47] AAA
[19:04:25.905] [DEBUG] [RenderManager:47] AAA
[19:04:25.918] [DEBUG] [RenderManager:47] AAA
[19:04:25.930] [DEBUG] [RenderManager:47] AAA
[19:04:25.942] [DEBUG] [RenderManager:47] AAA
[19:04:25.963] [DEBUG] [RenderManager:47] AAA
[19:04:25.975] [DEBUG] [RenderManager:47] AAA
[19:04:25.989] [DEBUG] [RenderManager:47] AAA
[19:04:26.004] [DEBUG] [RenderManager:47] AAA
[19:04:26.015] [DEBUG] [RenderManager:47] AAA
[19:04:26.027] [DEBUG] [RenderManager:47] AAA
[19:04:26.039] [DEBUG] [RenderManager:47] AAA
[19:04:26.051] [DEBUG] [RenderManager:47] AAA
[19:04:26.063] [DEBUG] [RenderManager:47] AAA
[19:04:26.075] [DEBUG] [RenderManager:47] AAA
[19:04:26.087] [DEBUG] [RenderManager:47] AAA
[19:04:26.099] [DEBUG] [RenderManager:47] AAA
[19:04:26.112] [DEBUG] [RenderManager:47] AAA
[19:04:26.124] [DEBUG] [RenderManager:47] AAA
[19:04:26.136] [DEBUG] [RenderManager:47] AAA
[19:04:26.148] [DEBUG] [RenderManager:47] AAA
[19:04:26.160] [DEBUG] [RenderManager:47] AAA
[19:04:26.172] [DEBUG] [RenderManager:47] AAA
[19:04:26.184] [DEBUG] [RenderManager:47] AAA
[19:04:26.197] [DEBUG] [RenderManager:47] AAA
[19:04:26.209] [DEBUG] [RenderManager:47] AAA
[19:04:26.221] [DEBUG] [RenderManager:47] AAA
[19:04:26.233] [DEBUG] [RenderManager:47] AAA
